id,kind,cat_or_group,subscale,component_class,sign,is_filler,behaviour_raw,endorsement,probe_raw
acme_27,battery,ACME,DIS,pathological,-1.0,False,-2.9641246795654297,2.9641246795654297,0.03680903168856231
acme_28,battery,ACME,RES,,1.0,False,-1.5884056091308594,-1.5884056091308594,0.39345610325464553
acme_29,battery,ACME,RES,,1.0,False,-1.4539470672607422,-1.4539470672607422,0.25236874226021566
acme_30,battery,ACME,RES,,1.0,False,-1.4939937591552734,-1.4939937591552734,-0.21594222695549625
acme_31,battery,ACME,COG,adaptive,-1.0,False,-2.3634281158447266,2.3634281158447266,0.0751049600000675
acme_32,battery,ACME,RES,,-1.0,False,-1.4958610534667969,1.4958610534667969,0.4019595664351874
acme_33,battery,ACME,COG,adaptive,1.0,False,-1.8432636260986328,-1.8432636260986328,-0.8294214895267946
acme_34,battery,ACME,COG,adaptive,1.0,False,-1.8846244812011719,-1.8846244812011719,0.7717606903410814
acme_35,battery,ACME,COG,adaptive,-1.0,False,-1.9717350006103516,1.9717350006103516,-0.23629957634591925
acme_36,battery,ACME,DIS,pathological,-1.0,False,-2.289724349975586,2.289724349975586,-1.0359750156825411
beaq_01,battery,experiential_avoidance,,pathological,1.0,False,-2.083639144897461,-2.083639144897461,-0.7181261864038748
beaq_02,battery,experiential_avoidance,,pathological,-1.0,False,-1.8905010223388672,1.8905010223388672,0.3121163452024298
beaq_03,battery,experiential_avoidance,,pathological,-1.0,False,-2.6479625701904297,2.6479625701904297,1.5840975845423313
beaq_04,battery,experiential_avoidance,,pathological,1.0,False,-2.4751548767089844,-2.4751548767089844,-0.5289484847328882
beaq_05,battery,experiential_avoidance,,pathological,1.0,False,-1.7682609558105469,-1.7682609558105469,1.416195867148105
beaq_06,battery,experiential_avoidance,,pathological,-1.0,False,-1.359640121459961,1.359640121459961,0.6612254982207011
beaq_07,battery,experiential_avoidance,,pathological,-1.0,False,-0.9425373077392578,0.9425373077392578,0.11739723502593336
beaq_08,battery,experiential_avoidance,,pathological,-1.0,False,-2.082958221435547,2.082958221435547,1.3133367956657265
beaq_09,battery,experiential_avoidance,,pathological,1.0,False,-1.6634349822998047,-1.6634349822998047,-0.3471583480125964
beaq_10,battery,experiential_avoidance,,pathological,-1.0,False,-1.3467082977294922,1.3467082977294922,1.2902817518883558
beaq_11,battery,experiential_avoidance,,pathological,-1.0,False,-1.4268531799316406,1.4268531799316406,0.028520850275925547
beaq_12,battery,experiential_avoidance,,pathological,1.0,False,-1.0259227752685547,-1.0259227752685547,0.8914496730586265
beaq_13,battery,experiential_avoidance,,pathological,-1.0,False,-2.066560745239258,2.066560745239258,-0.7696026679316015
beaq_14,battery,experiential_avoidance,,pathological,1.0,False,-1.6184864044189453,-1.6184864044189453,1.0255564677112123
beaq_15,battery,experiential_avoidance,,pathological,1.0,False,-2.1252689361572266,-2.1252689361572266,0.5356428773722683
bhs_01,battery,hopelessness,,,-1.0,False,-1.614889144897461,1.614889144897461,0.11875738179964945
bhs_02,battery,hopelessness,,,1.0,False,-2.3290882110595703,-2.3290882110595703,-0.486332656622428
bhs_03,battery,hopelessness,,,-1.0,False,-1.1137332916259766,1.1137332916259766,1.063263866234571
bhs_04,battery,hopelessness,,,1.0,False,-1.4712162017822266,-1.4712162017822266,-0.8797854548112234
bhs_05,battery,hopelessness,,,-1.0,False,-0.6799278259277344,0.6799278259277344,1.2696816146888215
bhs_06,battery,hopelessness,,,-1.0,False,-1.6874275207519531,1.6874275207519531,-0.027594165836396733
bhs_07,battery,hopelessness,,,1.0,False,-1.6404247283935547,-1.6404247283935547,-0.35767936327501415
bhs_08,battery,hopelessness,,,-1.0,False,-1.510915756225586,1.510915756225586,0.10579129476510074
bhs_09,battery,hopelessness,,,1.0,False,-2.191396713256836,-2.191396713256836,0.6650637456401065
bhs_10,battery,hopelessness,,,-1.0,False,-1.0575447082519531,1.0575447082519531,0.8229275912223153
bhs_11,battery,hopelessness,,,1.0,False,-2.305370330810547,-2.305370330810547,-0.7447143781110599
bhs_12,battery,hopelessness,,,1.0,False,-1.8062515258789062,-1.8062515258789062,0.46533778948817206
bhs_13,battery,hopelessness,,,-1.0,False,-1.9224472045898438,1.9224472045898438,-0.2165592654927968
bhs_14,battery,hopelessness,,,1.0,False,-1.7546195983886719,-1.7546195983886719,-0.17153756219448635
bhs_15,battery,hopelessness,,,-1.0,False,-1.1816673278808594,1.1816673278808594,-0.5256522600537972
bhs_16,battery,hopelessness,,,1.0,False,-2.4420833587646484,-2.4420833587646484,-0.08714030480111612
bhs_17,battery,hopelessness,,,1.0,False,-2.937044143676758,-2.937044143676758,1.183095874841774
bhs_18,battery,hopelessness,,,1.0,False,-1.2970542907714844,-1.2970542907714844,-0.7925157989585214
bhs_19,battery,hopelessness,,,-1.0,False,-1.6559371948242188,1.6559371948242188,-0.3487780132471361
bhs_20,battery,hopelessness,,,1.0,False,-1.8683757781982422,-1.8683757781982422,0.8976582534811168
bisbas_01,battery,motivational_systems,filler,none,-1.0,True,-1.7164154052734375,1.7164154052734375,1.8233603438367965
bisbas_02,battery,motivational_systems,bis,adaptive,1.0,False,-1.2080402374267578,-1.2080402374267578,0.29233134766773716
bisbas_03,battery,motivational_systems,bas_drive,conditional,-1.0,False,-1.225931167602539,1.225931167602539,-0.6889186436269505
bisbas_04,battery,motivational_systems,bas_reward_responsiveness,conditional,-1.0,False,-1.182687759399414,1.182687759399414,1.6214582448400336
bisbas_05,battery,motivational_systems,bas_fun_seeking,pathological,-1.0,False,-0.8465557098388672,0.8465557098388672,0.3952947952463668
bisbas_06,battery,motivational_systems,filler,none,-1.0,True,-0.8333969116210938,0.8333969116210938,0.4799211282794915
bisbas_07,battery,motivational_systems,bas_reward_responsiveness,conditional,-1.0,False,-1.5775203704833984,1.5775203704833984,0.9341994853145938
bisbas_08,battery,motivational_systems,bis,adaptive,-1.0,False,-2.102743148803711,2.102743148803711,0.1639514523617367
bisbas_09,battery,motivational_systems,bas_drive,conditional,-1.0,False,-1.9339523315429688,1.9339523315429688,0.6303560782030186
bisbas_10,battery,motivational_systems,bas_fun_seeking,pathological,-1.0,False,-1.5265178680419922,1.5265178680419922,1.1016307077965828
bisbas_11,battery,motivational_systems,filler,none,-1.0,True,-2.1411399841308594,2.1411399841308594,1.3809738334374755
bisbas_12,battery,motivational_systems,bas_drive,conditional,-1.0,False,-1.5942764282226562,1.5942764282226562,1.0634035073018626
bisbas_13,battery,motivational_systems,bis,adaptive,-1.0,False,-1.7931690216064453,1.7931690216064453,0.5307414878855048
bisbas_14,battery,motivational_systems,bas_reward_responsiveness,conditional,-1.0,False,-1.136770248413086,1.136770248413086,0.792015899718995
bisbas_15,battery,motivational_systems,bas_fun_seeking,pathological,-1.0,False,-1.3075599670410156,1.3075599670410156,0.3221109720613644
bisbas_16,battery,motivational_systems,bis,adaptive,-1.0,False,-1.3113288879394531,1.3113288879394531,1.9967160273571447
bisbas_17,battery,motivational_systems,filler,none,-1.0,True,-1.9224185943603516,1.9224185943603516,0.1975502685853816
bisbas_18,battery,motivational_systems,bas_reward_responsiveness,conditional,-1.0,False,-2.248424530029297,2.248424530029297,1.847917331088818
bisbas_19,battery,motivational_systems,bis,adaptive,-1.0,False,-2.069549560546875,2.069549560546875,0.4934767042324084
bisbas_20,battery,motivational_systems,bas_fun_seeking,pathological,-1.0,False,-1.150075912475586,1.150075912475586,-0.4252857857880237
bisbas_21,battery,motivational_systems,bas_drive,conditional,-1.0,False,-1.0367813110351562,1.0367813110351562,0.14519059673685497
bisbas_22,battery,motivational_systems,bis,adaptive,1.0,False,-0.9096508026123047,-0.9096508026123047,1.2007189626877661
bisbas_23,battery,motivational_systems,bas_reward_responsiveness,conditional,-1.0,False,-1.1924514770507812,1.1924514770507812,0.974766630054934
bisbas_24,battery,motivational_systems,bis,adaptive,-1.0,False,-1.4395866394042969,1.4395866394042969,0.6977880890756805
ptq_01,battery,PTQ,,,1.0,False,-1.3597602844238281,-1.3597602844238281,1.2978071879568243
ptq_02,battery,PTQ,,,1.0,False,-0.9849300384521484,-0.9849300384521484,0.1734615136204436
ptq_03,battery,PTQ,,,1.0,False,-1.9841194152832031,-1.9841194152832031,-0.27306853658805785
ptq_04,battery,PTQ,,,1.0,False,-1.0143470764160156,-1.0143470764160156,0.6313253752496244
ptq_05,battery,PTQ,,,1.0,False,-2.12884521484375,-2.12884521484375,-0.8973886730762297
ptq_06,battery,PTQ,,,1.0,False,-0.9951667785644531,-0.9951667785644531,-0.5418669882242191
ptq_07,battery,PTQ,,,1.0,False,-2.3490238189697266,-2.3490238189697266,0.6198203537524669
ptq_08,battery,PTQ,,,1.0,False,-1.9176311492919922,-1.9176311492919922,-0.3587477424318122
ptq_09,battery,PTQ,,,1.0,False,-1.1050167083740234,-1.1050167083740234,0.19454408928025768
ptq_10,battery,PTQ,,,1.0,False,-1.2276077270507812,-1.2276077270507812,0.37858596849741466
ptq_11,battery,PTQ,,,1.0,False,-1.9547576904296875,-1.9547576904296875,-0.008409927424201324
ptq_12,battery,PTQ,,,1.0,False,-1.199911117553711,-1.199911117553711,-0.2775954905686042
ptq_13,battery,PTQ,,,1.0,False,-2.1292591094970703,-2.1292591094970703,-0.40361941988786487
ptq_14,battery,PTQ,,,1.0,False,-0.4100513458251953,-0.4100513458251953,0.6462678854024861
ptq_15,battery,PTQ,,,1.0,False,-0.7033119201660156,-0.7033119201660156,0.3899586845823939
phq9_1,battery,PHQ-9,,,1.0,False,-1.6147079467773438,-1.6147079467773438,-0.5114515770519508
phq9_2,battery,PHQ-9,,,1.0,False,1.7349529266357422,1.7349529266357422,-1.178041124886807
phq9_3,battery,PHQ-9,,,1.0,False,0.38346290588378906,0.38346290588378906,0.17014362206708622
phq9_4,battery,PHQ-9,,,1.0,False,-1.0448875427246094,-1.0448875427246094,0.7516730087549666
phq9_5,battery,PHQ-9,,,1.0,False,-2.0355796813964844,-2.0355796813964844,-0.34657858714085954
phq9_6,battery,PHQ-9,,,1.0,False,-1.7175121307373047,-1.7175121307373047,-0.5942107381416974
phq9_7,battery,PHQ-9,,,1.0,False,0.7009544372558594,0.7009544372558594,-1.2111582190543255
phq9_8,battery,PHQ-9,,,1.0,False,-1.4713554382324219,-1.4713554382324219,-0.6087709502101966
phq9_9,battery,PHQ-9,,,1.0,False,-2.3584136962890625,-2.3584136962890625,-2.3553144038073146
gad7_1,battery,GAD-7,,,1.0,False,2.013509750366211,2.013509750366211,-0.790094948121431
gad7_2,battery,GAD-7,,,1.0,False,-0.85650634765625,-0.85650634765625,0.4162276238424236
gad7_3,battery,GAD-7,,,1.0,False,-1.4657764434814453,-1.4657764434814453,-0.6750161139166173
gad7_4,battery,GAD-7,,,1.0,False,-1.539896011352539,-1.539896011352539,-2.2594836104317952
gad7_5,battery,GAD-7,,,1.0,False,-1.8926982879638672,-1.8926982879638672,0.6488448607855004
gad7_6,battery,GAD-7,,,1.0,False,-0.3180351257324219,-0.3180351257324219,-0.06880233217290055
gad7_7,battery,GAD-7,,,1.0,False,-0.9950733184814453,-0.9950733184814453,0.35435010950104373
ders16_01,battery,emotion_dysregulation,,pathological,1.0,False,-1.118570327758789,-1.118570327758789,-0.0482664220257476
ders16_02,battery,emotion_dysregulation,,pathological,-1.0,False,-0.8394889831542969,0.8394889831542969,0.8412813621394131
ders16_03,battery,emotion_dysregulation,,pathological,1.0,False,-1.2048377990722656,-1.2048377990722656,1.8182195921476025
ders16_04,battery,emotion_dysregulation,,pathological,-1.0,False,-0.9997520446777344,0.9997520446777344,1.5557407660944214
ders16_05,battery,emotion_dysregulation,,pathological,1.0,False,-1.8121204376220703,-1.8121204376220703,2.3393002106014116
ders16_06,battery,emotion_dysregulation,,pathological,-1.0,False,-2.256378173828125,2.256378173828125,1.7131068144741146
ders16_07,battery,emotion_dysregulation,,pathological,1.0,False,-0.9013690948486328,-0.9013690948486328,1.435604445023052
ders16_08,battery,emotion_dysregulation,,pathological,1.0,False,-1.52081298828125,-1.52081298828125,1.6356559970594748
ders16_09,battery,emotion_dysregulation,,pathological,-1.0,False,-2.231966018676758,2.231966018676758,1.9981141292073563
ders16_10,battery,emotion_dysregulation,,pathological,1.0,False,-1.8866500854492188,-1.8866500854492188,1.8336273826809095
ders16_11,battery,emotion_dysregulation,,pathological,-1.0,False,-1.2400074005126953,1.2400074005126953,2.006084701185284
ders16_12,battery,emotion_dysregulation,,pathological,-1.0,False,-1.196868896484375,1.196868896484375,1.2078287350166534
ders16_13,battery,emotion_dysregulation,,pathological,1.0,False,-1.5856609344482422,-1.5856609344482422,1.6997854065828397
ders16_14,battery,emotion_dysregulation,,pathological,-1.0,False,-2.4257564544677734,2.4257564544677734,1.391467840077504
ders16_15,battery,emotion_dysregulation,,pathological,1.0,False,-1.2909908294677734,-1.2909908294677734,1.808726959201394
ders16_16,battery,emotion_dysregulation,,pathological,-1.0,False,-1.1688518524169922,1.1688518524169922,1.1778861367311588
gas_01,battery,goal_adjustment,disengagement,adaptive,1.0,False,-1.4892940521240234,-1.4892940521240234,1.1907587137035116
gas_02,battery,goal_adjustment,disengagement,adaptive,-1.0,False,-1.96978759765625,1.96978759765625,1.272716491307456
gas_03,battery,goal_adjustment,disengagement,adaptive,-1.0,False,-0.8820075988769531,0.8820075988769531,1.4495242684856335
gas_04,battery,goal_adjustment,disengagement,adaptive,1.0,False,-0.8166255950927734,-0.8166255950927734,1.3529691904572814
gas_05,battery,goal_adjustment,reengagement,adaptive,1.0,False,-1.8048744201660156,-1.8048744201660156,1.2937927153848516
gas_06,battery,goal_adjustment,reengagement,adaptive,1.0,False,-1.639028549194336,-1.639028549194336,1.0360307317573114
gas_07,battery,goal_adjustment,reengagement,adaptive,1.0,False,-1.6658954620361328,-1.6658954620361328,0.8957115066860082
gas_08,battery,goal_adjustment,reengagement,adaptive,1.0,False,-0.7304115295410156,-0.7304115295410156,1.296502402100853
gas_09,battery,goal_adjustment,reengagement,adaptive,1.0,False,-1.7404727935791016,-1.7404727935791016,1.2862673103911537
gas_10,battery,goal_adjustment,reengagement,adaptive,1.0,False,-1.3506336212158203,-1.3506336212158203,1.258308346662356
ius12_01,battery,intolerance_uncertainty,prospective,adaptive,1.0,False,-2.0809669494628906,-2.0809669494628906,-0.8306237433129011
ius12_02,battery,intolerance_uncertainty,prospective,adaptive,-1.0,False,-1.341054916381836,1.341054916381836,-0.09051533950674218
ius12_03,battery,intolerance_uncertainty,inhibitory,pathological,-1.0,False,-1.7975807189941406,1.7975807189941406,0.6732908763435184
ius12_04,battery,intolerance_uncertainty,prospective,adaptive,1.0,False,-1.7641048431396484,-1.7641048431396484,-0.15182149380583887
ius12_05,battery,intolerance_uncertainty,prospective,adaptive,-1.0,False,-1.7099742889404297,1.7099742889404297,0.7161586811937848
ius12_06,battery,intolerance_uncertainty,inhibitory,pathological,1.0,False,-2.6064224243164062,-2.6064224243164062,-0.09780459721279922
ius12_07,battery,intolerance_uncertainty,inhibitory,pathological,-1.0,False,-0.9474544525146484,0.9474544525146484,0.3936302711703141
ius12_08,battery,intolerance_uncertainty,prospective,adaptive,1.0,False,-1.1097049713134766,-1.1097049713134766,-1.9787627730349184
ius12_09,battery,intolerance_uncertainty,prospective,adaptive,-1.0,False,-1.425313949584961,1.425313949584961,0.2814561992971525
ius12_10,battery,intolerance_uncertainty,inhibitory,pathological,1.0,False,-1.6736106872558594,-1.6736106872558594,-0.03889292825756874
ius12_11,battery,intolerance_uncertainty,prospective,adaptive,1.0,False,-1.059621810913086,-1.059621810913086,-0.3880459580816602
ius12_12,battery,intolerance_uncertainty,inhibitory,pathological,-1.0,False,-1.3624153137207031,1.3624153137207031,-0.44377542020877314
mach_iv_01,battery,machiavellianism,,,1.0,False,-1.5872364044189453,-1.5872364044189453,0.46524324600637
mach_iv_02,battery,machiavellianism,,,1.0,False,-1.8536491394042969,-1.8536491394042969,-1.3966149833161174
mach_iv_03,battery,machiavellianism,,,-1.0,False,-2.2043285369873047,2.2043285369873047,0.2336824675455318
mach_iv_04,battery,machiavellianism,,,-1.0,False,-1.9409313201904297,1.9409313201904297,-0.18472390982065434
mach_iv_05,battery,machiavellianism,,,1.0,False,-2.6463699340820312,-2.6463699340820312,0.033939313050269426
mach_iv_06,battery,machiavellianism,,,-1.0,False,-1.543893814086914,1.543893814086914,1.0356705572118576
mach_iv_07,battery,machiavellianism,,,-1.0,False,-1.507497787475586,1.507497787475586,0.33929339225517063
mach_iv_08,battery,machiavellianism,,,1.0,False,-2.3958492279052734,-2.3958492279052734,0.47262811930145965
mach_iv_09,battery,machiavellianism,,,-1.0,False,-2.0912322998046875,2.0912322998046875,0.68396399134574
mach_iv_10,battery,machiavellianism,,,-1.0,False,-2.1261844635009766,2.1261844635009766,1.1878967276487526
mach_iv_11,battery,machiavellianism,,,-1.0,False,-2.4186840057373047,2.4186840057373047,0.5707433307403549
mach_iv_12,battery,machiavellianism,,,1.0,False,-2.412090301513672,-2.412090301513672,-0.4369042569106236
mach_iv_13,battery,machiavellianism,,,1.0,False,-2.776304244995117,-2.776304244995117,-1.052357896368691
mach_iv_14,battery,machiavellianism,,,-1.0,False,-2.328350067138672,2.328350067138672,-0.28881852427862453
mach_iv_15,battery,machiavellianism,,,1.0,False,-1.9176502227783203,-1.9176502227783203,-0.33112043507930844
mach_iv_16,battery,machiavellianism,,,-1.0,False,-1.3176555633544922,1.3176555633544922,0.23136531940761174
mach_iv_17,battery,machiavellianism,,,-1.0,False,-2.3705692291259766,2.3705692291259766,-0.7667332825976567
mach_iv_18,battery,machiavellianism,,,1.0,False,-2.2770633697509766,-2.2770633697509766,-0.06441571104598243
mach_iv_19,battery,machiavellianism,,,1.0,False,-3.717947006225586,-3.717947006225586,-1.1736098025340524
mach_iv_20,battery,machiavellianism,,,1.0,False,-3.0312576293945312,-3.0312576293945312,0.3168929663999305
mps_01,battery,machiavellianism,Amorality,pathological,1.0,False,-1.8024845123291016,-1.8024845123291016,-1.0351889735507642
mps_02,battery,machiavellianism,Amorality,pathological,-1.0,False,-1.8276481628417969,1.8276481628417969,-0.3664686886967443
mps_03,battery,machiavellianism,Amorality,pathological,1.0,False,-2.379671096801758,-2.379671096801758,-0.12964117950213971
mps_04,battery,machiavellianism,Amorality,pathological,-1.0,False,-1.7776813507080078,1.7776813507080078,-1.5725745702232912
mps_05,battery,machiavellianism,Amorality,pathological,1.0,False,-1.506509780883789,-1.506509780883789,0.06924444157584597
mps_06,battery,machiavellianism,Desire for Control,conditional,-1.0,False,-1.646881103515625,1.646881103515625,0.38437417832370024
mps_07,battery,machiavellianism,Desire for Control,conditional,1.0,False,-1.2508831024169922,-1.2508831024169922,0.10414542891096312
mps_08,battery,machiavellianism,Desire for Control,conditional,-1.0,False,-2.312427520751953,2.312427520751953,-0.9150664657347889
mps_09,battery,machiavellianism,Desire for Status,conditional,1.0,False,-1.7003040313720703,-1.7003040313720703,0.24053348716519474
mps_10,battery,machiavellianism,Desire for Status,conditional,-1.0,False,-2.3701324462890625,2.3701324462890625,0.8702038442201057
mps_11,battery,machiavellianism,Desire for Status,conditional,1.0,False,-1.6892013549804688,-1.6892013549804688,-0.566585978668293
mps_12,battery,machiavellianism,Distrust of Others,pathological,-1.0,False,-1.9092998504638672,1.9092998504638672,0.27139727582963946
mps_13,battery,machiavellianism,Distrust of Others,pathological,1.0,False,-2.7638397216796875,-2.7638397216796875,0.8174320610511123
mps_14,battery,machiavellianism,Distrust of Others,pathological,-1.0,False,-1.394195556640625,1.394195556640625,-0.7222832783427293
mps_15,battery,machiavellianism,Distrust of Others,pathological,1.0,False,-2.3144302368164062,-2.3144302368164062,0.6692021343928309
mps_16,battery,machiavellianism,Distrust of Others,pathological,-1.0,False,-1.5437889099121094,1.5437889099121094,-0.4613264708269402
narq_01,battery,narcissism,admiration,adaptive,1.0,False,-1.2022972106933594,-1.2022972106933594,-0.3937793000300611
narq_02,battery,narcissism,admiration,adaptive,1.0,False,-1.8101806640625,-1.8101806640625,-0.7525931750701145
narq_03,battery,narcissism,admiration,adaptive,1.0,False,-1.068368911743164,-1.068368911743164,-0.9106769530238719
narq_04,battery,narcissism,rivalry,pathological,1.0,False,-2.1136207580566406,-2.1136207580566406,-1.339910645652529
narq_05,battery,narcissism,admiration,adaptive,1.0,False,-1.6949634552001953,-1.6949634552001953,0.36519992317584915
narq_06,battery,narcissism,rivalry,pathological,1.0,False,-2.9735584259033203,-2.9735584259033203,-1.8990768135110425
narq_07,battery,narcissism,admiration,adaptive,1.0,False,-3.180206298828125,-3.180206298828125,-0.7355434268084653
narq_08,battery,narcissism,admiration,adaptive,1.0,False,-0.9796066284179688,-0.9796066284179688,-0.14323104968437939
narq_09,battery,narcissism,rivalry,pathological,1.0,False,-1.7389678955078125,-1.7389678955078125,-2.8053375361605397
narq_10,battery,narcissism,rivalry,pathological,1.0,False,-2.5712318420410156,-2.5712318420410156,-1.9301045196482125
narq_11,battery,narcissism,rivalry,pathological,1.0,False,-2.4057998657226562,-2.4057998657226562,0.33420541451470687
narq_12,battery,narcissism,rivalry,pathological,1.0,False,-2.0872764587402344,-2.0872764587402344,-1.8836179639504325
narq_13,battery,narcissism,rivalry,pathological,1.0,False,-2.228769302368164,-2.228769302368164,-0.07195305913194883
narq_14,battery,narcissism,rivalry,pathological,1.0,False,-2.2830276489257812,-2.2830276489257812,-1.7245108782647884
narq_15,battery,narcissism,admiration,adaptive,1.0,False,-1.3720073699951172,-1.3720073699951172,0.4908308742244756
narq_16,battery,narcissism,admiration,adaptive,1.0,False,-2.5610103607177734,-2.5610103607177734,-1.2931352838274721
narq_17,battery,narcissism,rivalry,pathological,1.0,False,-2.5200576782226562,-2.5200576782226562,-1.5586942255401746
narq_18,battery,narcissism,admiration,adaptive,1.0,False,-1.9308357238769531,-1.9308357238769531,-0.2151922758366931
npi_01,battery,narcissism,,,1.0,False,-2.101938247680664,-2.101938247680664,-0.40490914363634634
npi_02,battery,narcissism,,,-1.0,False,-1.1932601928710938,1.1932601928710938,0.5780824256596311
npi_03,battery,narcissism,,,1.0,False,-1.2729530334472656,-1.2729530334472656,-0.11639536745726131
npi_04,battery,narcissism,,,-1.0,False,-2.0295448303222656,2.0295448303222656,2.3853603844406295
npi_05,battery,narcissism,,,-1.0,False,-1.7746524810791016,1.7746524810791016,-0.65593248382755
npi_06,battery,narcissism,,,1.0,False,-1.9188117980957031,-1.9188117980957031,-0.9399924951945708
npi_07,battery,narcissism,,,-1.0,False,-1.841156005859375,1.841156005859375,-0.6915642239510937
npi_08,battery,narcissism,,,1.0,False,-1.1412067413330078,-1.1412067413330078,0.007910753287874606
npi_09,battery,narcissism,,,-1.0,False,-1.3749828338623047,1.3749828338623047,0.40286449748395436
npi_10,battery,narcissism,,,-1.0,False,-2.436351776123047,2.436351776123047,0.5403580853136272
npi_11,battery,narcissism,,,1.0,False,-0.7039890289306641,-0.7039890289306641,0.5844443424308232
npi_12,battery,narcissism,,,1.0,False,-2.488496780395508,-2.488496780395508,-2.2278149320442093
npi_13,battery,narcissism,,,1.0,False,-3.0174713134765625,-3.0174713134765625,-2.006983181619
npi_14,battery,narcissism,,,1.0,False,-2.063150405883789,-2.063150405883789,0.2621844034192131
npi_15,battery,narcissism,,,-1.0,False,-2.0298118591308594,2.0298118591308594,0.10113441220053865
npi_16,battery,narcissism,,,1.0,False,-1.8890380859375,-1.8890380859375,-0.5075798005387693
npi_17,battery,narcissism,,,1.0,False,-1.5455341339111328,-1.5455341339111328,-0.09938140454777322
npi_18,battery,narcissism,,,-1.0,False,-0.7550601959228516,0.7550601959228516,0.7586008704803389
npi_19,battery,narcissism,,,-1.0,False,-1.504312515258789,1.504312515258789,-1.0028442518753704
npi_20,battery,narcissism,,,-1.0,False,-1.3039054870605469,1.3039054870605469,0.4436748431922082
npi_21,battery,narcissism,,,1.0,False,-1.5529460906982422,-1.5529460906982422,-1.1374389914411882
npi_22,battery,narcissism,,,-1.0,False,-2.4090194702148438,2.4090194702148438,-0.5836300382643635
npi_23,battery,narcissism,,,1.0,False,-1.7532520294189453,-1.7532520294189453,0.4457749046571833
